pair_id,pilot_a,pilot_b,spotify_a,spotify_b,song_a,song_b,human_playlist_rating,rating_status,original_c_similarity,c_status,shared_families,shared_styles,primary_family_a,primary_family_b,primary_style_a,primary_style_b,vocal_role_a,vocal_role_b,arrangement_a,arrangement_b,texture_a,texture_b,sections_a,sections_b,certainty_a,certainty_b,qualitative_implication
c595e35533c3833381a52cda,A01,C01,4tqcoej1zPvwePZCzuAjJd,00njeQb198Lm7Jge2Rsrlg,Wet Dreamz — J. Cole,"Saturation in Delay, Love in Anger — City Girl, tiffi",1,PLAYLIST_COMPATIBILITY_V1,0.6012573838233948,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,pop,boom_bap,hyperpop,rap_led,sung_led,lead_vocal,balanced,"[""sample_based"", ""clean"", ""layered""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible separation
78228b72fde7c5586d53ada7,A01,C02,4tqcoej1zPvwePZCzuAjJd,6pWqlKm9ugucgKNldCLigX,Wet Dreamz — J. Cole,"Sit Around — City Girl, tiffi",1,PLAYLIST_COMPATIBILITY_V1,0.5503394603729248,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,rnb_soul,boom_bap,pop_rnb,rap_led,sung_led,lead_vocal,lead_vocal,"[""sample_based"", ""clean"", ""layered""]","[""sample_based"", ""clean"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible separation
31800d4ae76e22af71e3ee25,A02,A07,2BJSMvOGABRxokHKB0OI8i,7fBv7CLKzipRk6EC6TWHOB,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",The Hills — The Weeknd,4,PLAYLIST_COMPATIBILITY_V1,0.5984339118003845,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]","[""trap""]",hip_hop_rap,electronic,trap,hyperpop,rap_led,sung_led,lead_vocal,lead_vocal,"[""electronic"", ""clean""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible contraction
1df4383d3df854e5db21a6e6,A02,C04,2BJSMvOGABRxokHKB0OI8i,1ON9XudZFxwu43tQXBszIX,"Shoota (feat. Lil Uzi Vert) — Playboi Carti, Lil Uzi Vert",boys dont cry — sysmint,4,PLAYLIST_COMPATIBILITY_V1,0.5852230787277222,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,electronic,trap,digicore,rap_led,sung_led,lead_vocal,balanced,"[""electronic"", ""clean""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",conflict
48a01903c65059f137cd7258,A03,A05,2Vu2hkPW7LxMHPqoMjSIEJ,5sEeuhYWHNczuPKek1zJeG,My Gamecube Broke. — .Uzu,Tea Time — Disvstxr,4,PLAYLIST_COMPATIBILITY_V1,0.6315187215805054,FROZEN_C_AVAILABLE,"[""electronic"", ""hip_hop_rap""]","[""chillhop"", ""lofi_hip_hop""]",hip_hop_rap,hip_hop_rap,lofi_hip_hop,lofi_hip_hop,vocal_samples_only,sung_led,beat_or_instrumental,beat_or_instrumental,"[""hazy"", ""sample_based"", ""electronic""]","[""sample_based"", ""hazy""]",mostly_consistent,mostly_consistent,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible contraction
8716337735b891a7c92a03d1,A03,A06,2Vu2hkPW7LxMHPqoMjSIEJ,4LaZ8RpIP6DIgN73bXQVlO,My Gamecube Broke. — .Uzu,GET IT — keshi,2,PLAYLIST_COMPATIBILITY_V1,0.4787411391735077,FROZEN_C_AVAILABLE,"[""electronic"", ""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,lofi_hip_hop,melodic_trap,vocal_samples_only,mixed_rap_and_singing,beat_or_instrumental,balanced,"[""hazy"", ""sample_based"", ""electronic""]","[""electronic"", ""clean"", ""layered""]",mostly_consistent,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",possible separation
33848297c1d058bea85ba4f8,A05,A06,5sEeuhYWHNczuPKek1zJeG,4LaZ8RpIP6DIgN73bXQVlO,Tea Time — Disvstxr,GET IT — keshi,3,PLAYLIST_COMPATIBILITY_V1,0.7361983060836792,FROZEN_C_AVAILABLE,"[""electronic"", ""hip_hop_rap""]",[],hip_hop_rap,hip_hop_rap,lofi_hip_hop,melodic_trap,sung_led,mixed_rap_and_singing,beat_or_instrumental,balanced,"[""sample_based"", ""hazy""]","[""electronic"", ""clean"", ""layered""]",mostly_consistent,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",no information
6e2e1c9abae1fc6f7ae86a11,A05,C01,5sEeuhYWHNczuPKek1zJeG,00njeQb198Lm7Jge2Rsrlg,Tea Time — Disvstxr,"Saturation in Delay, Love in Anger — City Girl, tiffi",5,PLAYLIST_COMPATIBILITY_V1,0.7905222773551941,FROZEN_C_AVAILABLE,"[""electronic"", ""hip_hop_rap""]",[],hip_hop_rap,pop,lofi_hip_hop,hyperpop,sung_led,sung_led,beat_or_instrumental,balanced,"[""sample_based"", ""hazy""]","[""electronic"", ""distorted"", ""layered""]",mostly_consistent,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",conflict
94d833dd57e4e892f631c779,A05,C02,5sEeuhYWHNczuPKek1zJeG,6pWqlKm9ugucgKNldCLigX,Tea Time — Disvstxr,"Sit Around — City Girl, tiffi",4,PLAYLIST_COMPATIBILITY_V1,0.6931704878807068,FROZEN_C_AVAILABLE,"[""hip_hop_rap""]",[],hip_hop_rap,rnb_soul,lofi_hip_hop,pop_rnb,sung_led,sung_led,beat_or_instrumental,lead_vocal,"[""sample_based"", ""hazy""]","[""sample_based"", ""clean"", ""layered""]",mostly_consistent,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",conflict
e32193a16a94489a4dcb13bf,A06,C01,4LaZ8RpIP6DIgN73bXQVlO,00njeQb198Lm7Jge2Rsrlg,GET IT — keshi,"Saturation in Delay, Love in Anger — City Girl, tiffi",2,PLAYLIST_COMPATIBILITY_V1,0.7027162909507751,FROZEN_C_AVAILABLE,"[""electronic"", ""hip_hop_rap"", ""pop""]","[""electropop""]",hip_hop_rap,pop,melodic_trap,hyperpop,mixed_rap_and_singing,sung_led,balanced,balanced,"[""electronic"", ""clean"", ""layered""]","[""electronic"", ""distorted"", ""layered""]",contrasting_sections,contrasting_sections,"{""family"": ""clear"", ""style"": ""clear""}","{""family"": ""clear"", ""style"": ""clear""}",conflict
